Both jobs started. Polling every 60s...
Job1 (PID: 1): baseline, no_cl, no_hgcn
Job2 (PID: 3): no_avf, no_hgt, no_dv
[02:30:03] Job1=Running, Job2=Running
[02:31:03] Job1=Running, Job2=Running
[02:32:03] Job1=Running, Job2=Running
[02:33:03] Job1=Running, Job2=Running
[02:34:03] Job1=Running, Job2=Running
[02:35:03] Job1=Running, Job2=Running
[02:36:03] Job1=Running, Job2=Running
[02:37:03] Job1=Running, Job2=Running
[02:38:03] Job1=Running, Job2=Running
[02:39:03] Job1=Running, Job2=Running
[02:40:03] Job1=Running, Job2=Running
[02:41:03] Job1=Running, Job2=Running
[02:42:03] Job1=Running, Job2=Running
[02:43:03] Job1=Running, Job2=Running
[02:44:03] Job1=Running, Job2=Running
[02:45:03] Job1=Running, Job2=Running
[02:46:03] Job1=Running, Job2=Running
[02:47:03] Job1=Running, Job2=Running
[02:48:03] Job1=Running, Job2=Running
[02:49:03] Job1=Running, Job2=Running
[02:50:03] Job1=Running, Job2=Running
[02:51:03] Job1=Running, Job2=Running
[02:52:03] Job1=Running, Job2=Running
[02:53:03] Job1=Completed, Job2=Running
[02:54:03] Job1=Completed, Job2=Running
[02:55:03] Job1=Completed, Job2=Running
[02:56:03] Job1=Completed, Job2=Running
[02:57:03] Job1=Completed, Job2=Running
[02:58:03] Job1=Completed, Job2=Running
[02:59:03] Job1=Completed, Job2=Running
[03:00:03] Job1=Completed, Job2=Running
[03:01:03] Job1=Completed, Job2=Running
[03:02:03] Job1=Completed, Job2=Running
[03:03:03] Job1=Completed, Job2=Running
[03:04:03] Job1=Completed, Job2=Running
[03:05:03] Job1=Completed, Job2=Completed

=== Job1 final output ===
[Job1] Starting baseline...
[Job1] Starting no_cl...
[Job1] Starting no_hgcn...
[Job1] DONE
🏆 Top-1 Metrics (NEW):
  Top-1 Precision: 0.5821
  Top-1 Recall: 0.6391
  Top-1 F1: 0.6091
==========================================================================================

=== Job2 final output ===
[Job2] Starting no_avf...
[Job2] Starting no_hgt...
[Job2] Starting no_dv...
[Job2] DONE
🏆 Top-1 Metrics (NEW):
  Top-1 Precision: 0.5246
  Top-1 Recall: 0.6032
  Top-1 F1: 0.5608
==========================================================================================

Total time: 03:05:04
Now run: .\compile_final.ps1
